product_id;product_name;category;warehouse_location;stock_level;reorder_point;supplier_name;supplier_country;lead_time_days;delay_days;demand_per_week;order_quantity;price_usd;last_restock_date;risk_level
P00105;Furniture Item 105;furniture;Tokyo;679;176;Nestlé S.A.;Switzerland;2;7;82;307;1930.88;05/12/2024;high
P00106;Electronics Item 106;electronics;Casablanca;102;144;Nestlé S.A.;Switzerland;1;7;471;259;1742.51;07/06/2024;high
P00107;Electronics Item 107;electronics;Casablanca;800;77;Sony Corp.;Japan;23;9;178;382;165.23;02/12/2024;high
P00108;Furniture Item 108;furniture;London;641;193;Adidas AG;Germany;28;7;459;68;1236.83;28/08/2024;high
P00109;Clothing Item 109;clothing;Dubai;764;33;GlobalTech GmbH;Germany;25;1;227;277;336.9;02/11/2024;low
P00110;Electronics Item 110;electronics;New York;332;24;Sony Corp.;Japan;12;5;155;124;492.17;25/02/2025;medium
P00111;Food Item 111;food;Shanghai;179;30;Samsung Electronics;South Korea;20;6;317;304;1826.09;26/05/2024;medium
P00112;Food Item 112;food;Casablanca;653;75;TechSource Inc.;USA;22;4;240;461;933.18;21/10/2024;medium
P00113;Food Item 113;food;Berlin;452;98;Sony Corp.;Japan;21;4;305;403;503.95;05/11/2024;medium
P00114;Food Item 114;food;Tokyo;873;133;Cargill Inc.;USA;13;3;59;233;1151.75;17/12/2025;low
P00115;Clothing Item 115;clothing;New York;849;178;Cargill Inc.;USA;1;4;207;492;1373.17;01/02/2026;medium
P00116;Electronics Item 116;electronics;Sydney;763;137;Samsung Electronics;South Korea;25;4;431;360;1604.85;12/08/2024;medium
P00117;Food Item 117;food;Sydney;256;183;Nestlé S.A.;Switzerland;22;10;391;371;198.84;04/10/2025;high
P00118;Electronics Item 118;electronics;Paris;807;122;Nestlé S.A.;Switzerland;12;9;22;96;1819.71;30/11/2024;high
P00119;Furniture Item 119;furniture;Shanghai;205;43;IKEA Supply;Sweden;29;8;407;321;1006.08;06/10/2024;high
P00120;Food Item 120;food;Paris;935;133;IKEA Supply;Sweden;24;4;500;461;234.76;18/03/2024;medium
P00121;Food Item 121;food;Dubai;880;183;Adidas AG;Germany;13;10;375;237;185.15;08/02/2025;high
P00122;Electronics Item 122;electronics;Paris;549;41;Apple Inc.;USA;22;5;237;349;765.15;15/10/2025;medium
P00123;Clothing Item 123;clothing;Berlin;691;69;Adidas AG;Germany;20;0;246;217;1830.94;14/08/2024;low
P00124;Electronics Item 124;electronics;Casablanca;931;189;GlobalTech GmbH;Germany;14;10;159;121;95.47;08/02/2024;high
P00125;Clothing Item 125;clothing;Casablanca;118;34;Sony Corp.;Japan;5;8;125;282;745.17;30/01/2026;high
P00126;Furniture Item 126;furniture;Sydney;760;196;GlobalTech GmbH;Germany;21;6;84;476;981.25;21/02/2025;medium
P00127;Clothing Item 127;clothing;New York;706;104;Samsung Electronics;South Korea;15;7;116;487;728.56;03/12/2025;high
P00128;Clothing Item 128;clothing;Toronto;923;175;Apple Inc.;USA;13;0;188;147;1936.57;10/04/2025;low
P00129;Electronics Item 129;electronics;Dubai;657;173;IKEA Supply;Sweden;2;0;310;174;1977.7;16/03/2026;low
P00130;Food Item 130;food;Berlin;849;151;Samsung Electronics;South Korea;7;9;111;218;1549.87;18/03/2026;high
P00131;Electronics Item 131;electronics;Paris;879;47;Nestlé S.A.;Switzerland;9;8;71;106;1323.81;27/01/2024;high
P00132;Food Item 132;food;New York;366;70;Nestlé S.A.;Switzerland;1;5;306;185;109.54;29/01/2026;medium
P00133;Furniture Item 133;furniture;Toronto;116;200;IKEA Supply;Sweden;15;7;37;312;1189.36;07/04/2025;high
P00134;Food Item 134;food;Sydney;44;196;Apple Inc.;USA;17;10;406;284;1288.46;01/02/2024;high
P00135;Electronics Item 135;electronics;Casablanca;867;112;Nike Inc.;USA;4;10;223;414;1819.85;16/03/2024;high
P00136;Electronics Item 136;electronics;London;622;47;Cargill Inc.;USA;9;2;38;374;1172.8;30/12/2025;low
P00137;Clothing Item 137;clothing;Tokyo;611;145;Cargill Inc.;USA;17;7;155;270;202.86;19/12/2025;high
P00138;Electronics Item 138;electronics;Toronto;738;65;Samsung Electronics;South Korea;29;7;225;261;681.17;09/04/2025;high
P00139;Furniture Item 139;furniture;Tokyo;747;34;Apple Inc.;USA;11;6;165;241;1907.42;04/12/2025;medium
P00140;Furniture Item 140;furniture;Berlin;93;31;IKEA Supply;Sweden;4;6;52;465;264.58;02/03/2024;medium
P00141;Clothing Item 141;clothing;Berlin;420;100;Sony Corp.;Japan;25;10;452;494;1832.11;22/02/2024;high
P00142;Clothing Item 142;clothing;Sydney;319;100;Samsung Electronics;South Korea;17;9;58;129;1315.19;17/08/2024;high
P00143;Electronics Item 143;electronics;London;865;152;Apple Inc.;USA;25;1;193;343;456.19;15/03/2025;low
P00144;Electronics Item 144;electronics;Sydney;951;178;Nestlé S.A.;Switzerland;1;4;429;189;1406.88;12/11/2024;medium
P00145;Clothing Item 145;clothing;London;6;56;Sony Corp.;Japan;19;2;450;85;288.04;10/10/2025;high
P00146;Electronics Item 146;electronics;Berlin;764;145;Nike Inc.;USA;14;6;115;224;319.03;15/11/2024;medium
P00147;Clothing Item 147;clothing;Sydney;610;31;Nestlé S.A.;Switzerland;5;0;457;436;1237.59;21/11/2025;low
P00148;Electronics Item 148;electronics;Paris;453;179;Nike Inc.;USA;20;7;222;262;549.97;12/02/2026;high
P00149;Electronics Item 149;electronics;London;440;38;Cargill Inc.;USA;22;10;150;299;1056.23;11/11/2024;high
P00150;Electronics Item 150;electronics;Dubai;404;163;Apple Inc.;USA;7;0;33;158;1535.86;21/02/2026;low
P00151;Clothing Item 151;clothing;Paris;335;40;Sony Corp.;Japan;24;7;8;139;262.73;29/06/2025;high
P00152;Food Item 152;food;Toronto;572;181;Sony Corp.;Japan;3;5;417;491;1485.37;22/03/2025;medium
P00153;Electronics Item 153;electronics;Casablanca;943;29;Sony Corp.;Japan;19;5;446;343;811.82;17/10/2025;medium
P00154;Furniture Item 154;furniture;Paris;117;113;Cargill Inc.;USA;6;5;15;285;1664.89;05/01/2025;medium
P00155;Electronics Item 155;electronics;Tokyo;864;37;Sony Corp.;Japan;19;6;129;318;161.9;13/11/2024;medium
P00156;Clothing Item 156;clothing;Dubai;341;53;GlobalTech GmbH;Germany;21;8;44;321;1022.35;05/03/2026;high
P00157;Clothing Item 157;clothing;London;744;175;GlobalTech GmbH;Germany;8;2;422;124;515.66;26/06/2024;low
P00158;Food Item 158;food;Berlin;181;170;Cargill Inc.;USA;25;7;257;439;1161.04;28/11/2025;high
P00159;Clothing Item 159;clothing;London;154;122;Apple Inc.;USA;15;7;39;457;552.97;27/02/2024;high
P00160;Clothing Item 160;clothing;Toronto;75;89;TechSource Inc.;USA;2;7;241;238;1664.23;19/03/2024;high
P00161;Electronics Item 161;electronics;Sydney;608;139;Adidas AG;Germany;19;7;201;455;1479.15;12/02/2024;high
P00162;Furniture Item 162;furniture;Sydney;667;58;Adidas AG;Germany;16;9;169;127;1915.66;06/04/2025;high
P00163;Electronics Item 163;electronics;London;731;31;TechSource Inc.;USA;6;10;263;176;1416.71;25/03/2025;high
P00164;Food Item 164;food;London;381;82;IKEA Supply;Sweden;25;6;203;397;1197.78;19/03/2026;medium
P00165;Clothing Item 165;clothing;Berlin;337;34;Apple Inc.;USA;13;10;290;179;1448.85;03/11/2025;high
P00166;Food Item 166;food;London;83;159;IKEA Supply;Sweden;30;2;344;208;1935.55;16/12/2025;high
P00167;Furniture Item 167;furniture;Shanghai;609;191;Adidas AG;Germany;10;1;485;242;1288.77;02/12/2024;low
P00168;Food Item 168;food;Toronto;95;175;IKEA Supply;Sweden;17;6;348;59;728.38;03/07/2024;high
P00169;Food Item 169;food;London;970;134;Nestlé S.A.;Switzerland;5;3;103;89;595.11;18/03/2026;low
P00170;Electronics Item 170;electronics;Toronto;789;148;IKEA Supply;Sweden;2;8;432;498;1533.78;14/05/2024;high
P00171;Furniture Item 171;furniture;Shanghai;166;56;Nestlé S.A.;Switzerland;26;9;430;419;878.16;24/02/2025;high
P00172;Clothing Item 172;clothing;Dubai;992;123;Nike Inc.;USA;25;4;317;169;1070.35;12/11/2024;medium
P00173;Furniture Item 173;furniture;Dubai;376;183;Nike Inc.;USA;15;9;489;443;567.13;26/01/2025;high
P00174;Furniture Item 174;furniture;Shanghai;836;61;Apple Inc.;USA;5;9;415;76;1284.15;15/01/2025;high
P00175;Electronics Item 175;electronics;Toronto;871;41;Nestlé S.A.;Switzerland;25;1;150;189;901.39;09/06/2025;low
P00176;Food Item 176;food;Tokyo;93;66;IKEA Supply;Sweden;29;7;423;63;832.72;09/02/2025;high
P00177;Clothing Item 177;clothing;Dubai;395;30;IKEA Supply;Sweden;1;3;196;100;1679.16;27/10/2025;low
P00178;Clothing Item 178;clothing;Shanghai;140;19;Nestlé S.A.;Switzerland;23;7;151;438;1412.54;04/04/2025;high
P00179;Electronics Item 179;electronics;Berlin;19;75;Cargill Inc.;USA;18;2;115;320;849.39;05/03/2026;medium
P00180;Clothing Item 180;clothing;Dubai;308;41;Cargill Inc.;USA;14;3;29;284;130.3;26/05/2025;low
P00181;Electronics Item 181;electronics;Toronto;588;71;Sony Corp.;Japan;10;2;372;50;1231.55;03/09/2024;low
P00182;Furniture Item 182;furniture;Shanghai;680;181;GlobalTech GmbH;Germany;12;8;48;319;1090.44;16/03/2026;high
P00183;Electronics Item 183;electronics;Tokyo;894;130;IKEA Supply;Sweden;13;10;27;179;1495.9;31/12/2024;high
P00184;Electronics Item 184;electronics;London;246;197;Cargill Inc.;USA;4;10;341;426;1514.57;16/05/2024;high
P00185;Electronics Item 185;electronics;London;559;96;Nike Inc.;USA;6;10;421;406;959.67;05/07/2024;high
P00186;Food Item 186;food;Berlin;733;127;TechSource Inc.;USA;7;4;23;455;402.94;12/02/2024;medium
P00187;Clothing Item 187;clothing;Paris;527;111;Apple Inc.;USA;16;8;422;68;1507.82;14/07/2024;high
P00188;Clothing Item 188;clothing;London;882;22;Apple Inc.;USA;11;10;448;113;1599.69;23/03/2025;high
P00189;Furniture Item 189;furniture;Casablanca;916;108;Nike Inc.;USA;16;2;178;238;1849.0;15/06/2025;low
P00190;Clothing Item 190;clothing;Berlin;744;118;Nestlé S.A.;Switzerland;20;6;45;329;591.06;15/04/2024;medium
P00191;Electronics Item 191;electronics;London;676;85;Sony Corp.;Japan;20;7;161;135;1381.08;25/12/2024;high
P00192;Furniture Item 192;furniture;New York;744;100;TechSource Inc.;USA;9;6;319;88;1344.01;19/02/2025;medium
P00193;Clothing Item 193;clothing;Toronto;820;183;Cargill Inc.;USA;5;0;86;397;1563.72;05/02/2024;low
P00194;Food Item 194;food;Berlin;241;175;Cargill Inc.;USA;13;5;192;66;1212.16;26/11/2025;medium
P00195;Furniture Item 195;furniture;London;380;123;Nestlé S.A.;Switzerland;19;1;395;321;737.07;17/11/2024;low
P00196;Clothing Item 196;clothing;Dubai;983;39;Adidas AG;Germany;16;2;18;248;1827.52;30/04/2024;low
P00197;Clothing Item 197;clothing;Paris;720;124;Nike Inc.;USA;10;9;114;152;249.66;16/03/2024;high
P00198;Furniture Item 198;furniture;Shanghai;920;192;IKEA Supply;Sweden;26;1;232;391;698.11;07/03/2024;low
P00199;Clothing Item 199;clothing;Paris;871;50;IKEA Supply;Sweden;6;10;369;310;452.36;24/07/2024;high
P00200;Food Item 200;food;Dubai;809;136;Cargill Inc.;USA;18;5;18;238;937.47;18/07/2025;medium
P00201;Food Item 201;food;Sydney;905;32;Nike Inc.;USA;13;4;38;319;824.54;23/02/2025;medium
P00202;Electronics Item 202;electronics;Shanghai;995;91;Nike Inc.;USA;15;1;333;398;1037.13;11/05/2024;low
P00203;Food Item 203;food;Shanghai;443;138;GlobalTech GmbH;Germany;27;0;471;315;310.27;17/06/2024;low
P00204;Food Item 204;food;London;957;191;Apple Inc.;USA;17;5;120;483;162.33;20/07/2024;medium
P00205;Clothing Item 205;clothing;Shanghai;640;87;Adidas AG;Germany;3;8;319;378;341.43;17/08/2025;high
P00206;Food Item 206;food;Shanghai;674;169;Cargill Inc.;USA;11;9;373;71;1651.35;30/01/2024;high
P00207;Electronics Item 207;electronics;New York;971;174;Samsung Electronics;South Korea;9;9;399;442;1146.41;24/09/2025;high
P00208;Electronics Item 208;electronics;Casablanca;910;170;Apple Inc.;USA;21;4;284;297;493.53;02/12/2025;medium
P00209;Furniture Item 209;furniture;Paris;464;28;Nike Inc.;USA;6;0;357;262;971.08;27/07/2024;low
P00210;Clothing Item 210;clothing;Sydney;147;90;IKEA Supply;Sweden;24;5;446;254;265.88;14/01/2025;medium
P00211;Electronics Item 211;electronics;London;247;129;Samsung Electronics;South Korea;15;4;67;122;198.14;24/10/2024;medium
P00212;Furniture Item 212;furniture;Sydney;428;73;IKEA Supply;Sweden;27;2;497;345;1443.65;13/07/2024;low
P00213;Food Item 213;food;Casablanca;527;129;TechSource Inc.;USA;16;4;260;96;1890.74;01/06/2025;medium
P00214;Furniture Item 214;furniture;Dubai;220;159;Apple Inc.;USA;2;0;185;303;1197.05;31/10/2025;low
P00215;Furniture Item 215;furniture;Paris;549;12;Nestlé S.A.;Switzerland;14;1;438;185;1456.38;21/02/2026;low
P00216;Furniture Item 216;furniture;London;46;112;Samsung Electronics;South Korea;18;9;31;235;1108.68;16/03/2024;high
P00217;Furniture Item 217;furniture;Toronto;461;150;Cargill Inc.;USA;22;9;148;110;261.68;09/04/2024;high
P00218;Furniture Item 218;furniture;London;813;96;Nestlé S.A.;Switzerland;25;5;290;151;1206.91;15/02/2025;medium
P00219;Electronics Item 219;electronics;New York;39;45;Nike Inc.;USA;26;5;370;315;916.69;12/09/2025;high
P00220;Food Item 220;food;London;953;166;Cargill Inc.;USA;13;2;168;428;1685.99;30/08/2025;low
P00221;Clothing Item 221;clothing;Toronto;848;140;Cargill Inc.;USA;23;7;277;203;952.41;18/01/2024;high
P00222;Clothing Item 222;clothing;London;689;38;TechSource Inc.;USA;10;9;218;355;951.81;02/11/2025;high
P00223;Food Item 223;food;New York;597;132;Cargill Inc.;USA;21;8;92;446;1683.13;31/05/2024;high
P00224;Food Item 224;food;New York;586;189;Nike Inc.;USA;1;3;61;210;840.47;26/02/2025;low
P00225;Food Item 225;food;Tokyo;513;166;TechSource Inc.;USA;28;7;476;411;280.47;31/07/2024;high
P00226;Clothing Item 226;clothing;Casablanca;538;106;Adidas AG;Germany;15;2;165;225;1094.82;23/11/2025;low
P00227;Clothing Item 227;clothing;Sydney;495;59;Adidas AG;Germany;9;3;495;202;453.61;31/10/2024;low
P00228;Clothing Item 228;clothing;Dubai;706;190;IKEA Supply;Sweden;16;5;255;336;1867.73;25/03/2026;medium
P00229;Clothing Item 229;clothing;Paris;124;156;Sony Corp.;Japan;13;8;351;469;693.54;02/03/2026;high
P00230;Food Item 230;food;Paris;43;83;Nike Inc.;USA;12;1;494;385;516.61;05/05/2025;high
P00231;Food Item 231;food;Dubai;847;147;Apple Inc.;USA;23;8;143;120;222.91;28/01/2026;high
P00232;Food Item 232;food;Dubai;51;181;Samsung Electronics;South Korea;8;8;468;76;204.89;04/12/2024;high
P00233;Furniture Item 233;furniture;Berlin;697;45;Nestlé S.A.;Switzerland;30;8;7;258;1307.52;02/05/2025;high
